17:27:07 | 400 |      5.5518ms | 127.0.0.1 | POST | /api/admin/users | -
17:28:07 | 201 |    167.0956ms | 127.0.0.1 | POST | /api/admin/users | -
17:28:58 | 400 |            0s | 127.0.0.1 | POST | /api/admin/users | -
17:29:35 | 400 |    292.3714ms | 127.0.0.1 | POST | /api/admin/users | -
17:30:14 | 400 |    132.1633ms | 127.0.0.1 | POST | /api/admin/users | -
17:37:10 | 200 |    131.7587ms | 127.0.0.1 | POST | /api/auth/login | -
17:37:51 | 201 |    149.4412ms | 127.0.0.1 | POST | /api/admin/users | -
17:38:16 | 400 |    175.9257ms | 127.0.0.1 | POST | /api/admin/users | -
17:41:58 | 200 |    141.3221ms | 127.0.0.1 | POST | /api/auth/login | -
17:42:40 | 201 |    168.7979ms | 127.0.0.1 | POST | /api/admin/users | -
17:43:09 | 400 |    165.4692ms | 127.0.0.1 | POST | /api/admin/users | -
18:27:40 | 200 |    278.2058ms | 127.0.0.1 | POST | /api/auth/login | -
18:28:34 | 201 |     137.086ms | 127.0.0.1 | POST | /api/admin/users | -
18:29:31 | 400 |    135.7604ms | 127.0.0.1 | POST | /api/admin/users | -
19:27:15 | 200 |    480.5001ms | 127.0.0.1 | POST | /api/auth/login | -
19:27:48 | 201 |    171.3453ms | 127.0.0.1 | POST | /api/admin/users | -
19:28:07 | 400 |    139.6774ms | 127.0.0.1 | POST | /api/admin/users | -
19:42:13 | 200 |    182.4792ms | 127.0.0.1 | POST | /api/auth/login | -
19:42:44 | 201 |    147.1758ms | 127.0.0.1 | POST | /api/admin/users | -
19:43:09 | 201 |     291.854ms | 127.0.0.1 | POST | /api/admin/users | -
21:15:36 | 200 |    187.6773ms | 127.0.0.1 | POST | /api/auth/login | -
21:16:04 | 201 |    148.8278ms | 127.0.0.1 | POST | /api/admin/users | -
21:17:40 | 400 |      1.5908ms | 127.0.0.1 | POST | /api/admin/users | -
21:20:27 | 201 |    160.6172ms | 127.0.0.1 | POST | /api/admin/users | -
21:40:01 | 200 |     138.201ms | 127.0.0.1 | POST | /api/auth/login | -
21:40:11 | 200 |    140.9663ms | 127.0.0.1 | POST | /api/auth/login | -
21:40:21 | 200 |    128.0014ms | 127.0.0.1 | POST | /api/auth/login | -
21:42:21 | 200 |     25.5945ms | 127.0.0.1 | PUT | /api/admin/users/f634ffb0-4cc4-426d-9405-59874f85936d | -
21:44:49 | 404 |      2.1164ms | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
21:45:13 | 404 |       915.9µs | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
21:45:34 | 200 |     11.1563ms | 127.0.0.1 | PUT | /api/admin/users/9f2a7691-c636-454c-a84d-33c2bf121a4c | -
22:16:37 | 401 |     27.5499ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:37 | 401 |    533.5711ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:37 | 401 |      3.3489ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:37 | 401 |      1.5814ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:37 | 401 |      1.0242ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:38 | 401 |       534.2µs | 127.0.0.1 | POST | /api/auth/login | -
22:16:38 | 401 |      15.214ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:38 | 401 |     36.8907ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:38 | 401 |     59.9639ms | 127.0.0.1 | POST | /api/admin/users | -
22:16:38 | 401 |     23.4544ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:38 | 401 |    191.2613ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:39 | 401 |       507.9µs | 127.0.0.1 | POST | /api/admin/users | -
22:16:39 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
22:16:39 | 401 |      1.8953ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:39 | 401 |      1.5908ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:39 | 401 |      5.1783ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:39 | 401 |       944.2µs | 127.0.0.1 | POST | /api/auth/login | -
22:16:39 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
22:16:39 | 401 |            0s | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:16:39 | 401 |      2.6278ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:39 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
22:16:39 | 401 |            0s | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:16:39 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
22:16:39 | 401 |            0s | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:16:39 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
22:16:39 | 401 |       530.3µs | 127.0.0.1 | POST | /api/admin/users | -
22:16:39 | 401 |            0s | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:16:39 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
22:16:39 | 401 |            0s | 127.0.0.1 | DELETE | /api/admin/users/6c6a04e9-8fef-4e45-8154-dbd36ec04d31 | -
22:16:39 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
22:16:39 | 401 |            0s | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:16:39 | 401 |            0s | 127.0.0.1 | DELETE | /api/admin/users/6c6a04e9-8fef-4e45-8154-dbd36ec04d31 | -
22:16:39 | 401 |            0s | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:16:39 | 401 |            0s | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:16:39 | 401 |            0s | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:16:39 | 401 |            0s | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:16:40 | 401 |            0s | 127.0.0.1 | DELETE | /api/admin/users/6c6a04e9-8fef-4e45-8154-dbd36ec04d31 | -
22:16:40 | 401 |            0s | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:16:40 | 401 |            0s | 127.0.0.1 | DELETE | /api/admin/users/6c6a04e9-8fef-4e45-8154-dbd36ec04d31 | -
22:16:40 | 401 |            0s | 127.0.0.1 | DELETE | /api/admin/users/6c6a04e9-8fef-4e45-8154-dbd36ec04d31 | -
22:16:41 | 401 |       507.6µs | 127.0.0.1 | POST | /api/auth/login | -
22:16:41 | 401 |       507.8µs | 127.0.0.1 | POST | /api/auth/login | -
22:16:41 | 401 |      5.3795ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:41 | 401 |      1.0434ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:41 | 401 |      1.0746ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:41 | 401 |       508.1µs | 127.0.0.1 | POST | /api/auth/login | -
22:16:41 | 401 |       2.189ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:41 | 401 |      2.0406ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:41 | 401 |       505.6µs | 127.0.0.1 | POST | /api/auth/login | -
22:16:41 | 401 |       677.9µs | 127.0.0.1 | POST | /api/auth/login | -
22:16:41 | 401 |       418.3µs | 127.0.0.1 | POST | /api/auth/login | -
22:16:41 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
22:16:41 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
22:16:41 | 401 |       735.2µs | 127.0.0.1 | POST | /api/auth/login | -
22:16:41 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
22:16:41 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
22:16:41 | 401 |       507.6µs | 127.0.0.1 | POST | /api/auth/login | -
22:16:41 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
22:16:41 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
22:16:41 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
22:16:42 | 401 |      4.2882ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:42 | 401 |            0s | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:16:42 | 401 |            0s | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:16:42 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
22:16:42 | 401 |         957µs | 127.0.0.1 | POST | /api/auth/login | -
22:16:42 | 401 |            0s | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:16:42 | 401 |            0s | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:16:42 | 401 |            0s | 127.0.0.1 | DELETE | /api/admin/users/6c6a04e9-8fef-4e45-8154-dbd36ec04d31 | -
22:16:42 | 401 |            0s | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:16:42 | 401 |            0s | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:16:42 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
22:16:42 | 401 |            0s | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:16:43 | 401 |       674.1µs | 127.0.0.1 | DELETE | /api/admin/users/6c6a04e9-8fef-4e45-8154-dbd36ec04d31 | -
22:16:43 | 401 |      1.1912ms | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:16:43 | 401 |      1.1912ms | 127.0.0.1 | POST | /api/admin/users | -
22:16:43 | 401 |            0s | 127.0.0.1 | DELETE | /api/admin/users/6c6a04e9-8fef-4e45-8154-dbd36ec04d31 | -
22:16:43 | 401 |            0s | 127.0.0.1 | DELETE | /api/admin/users/6c6a04e9-8fef-4e45-8154-dbd36ec04d31 | -
22:16:43 | 401 |            0s | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:16:43 | 401 |       508.3µs | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:16:43 | 401 |       655.3µs | 127.0.0.1 | POST | /api/auth/login | -
22:16:43 | 401 |            0s | 127.0.0.1 | DELETE | /api/admin/users/6c6a04e9-8fef-4e45-8154-dbd36ec04d31 | -
22:16:43 | 401 |      2.2673ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:43 | 401 |       633.8µs | 127.0.0.1 | POST | /api/auth/login | -
22:16:43 | 401 |       505.6µs | 127.0.0.1 | POST | /api/auth/login | -
22:16:43 | 401 |       508.1µs | 127.0.0.1 | POST | /api/auth/login | -
22:16:43 | 401 |       507.3µs | 127.0.0.1 | POST | /api/auth/login | -
22:16:43 | 401 |       875.7µs | 127.0.0.1 | POST | /api/auth/login | -
22:16:43 | 401 |       550.3µs | 127.0.0.1 | POST | /api/auth/login | -
22:16:44 | 401 |       496.5µs | 127.0.0.1 | POST | /api/admin/users | -
22:16:44 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
22:16:44 | 401 |       511.3µs | 127.0.0.1 | POST | /api/auth/login | -
22:16:44 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
22:16:44 | 401 |       507.7µs | 127.0.0.1 | POST | /api/auth/login | -
22:16:44 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
22:16:44 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
22:16:44 | 401 |         684µs | 127.0.0.1 | POST | /api/auth/login | -
22:16:44 | 401 |       505.2µs | 127.0.0.1 | POST | /api/auth/login | -
22:16:44 | 401 |            0s | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:16:44 | 401 |            0s | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:16:44 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
22:16:44 | 401 |       507.5µs | 127.0.0.1 | POST | /api/auth/login | -
22:16:44 | 401 |      1.9414ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:44 | 401 |            0s | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:16:44 | 401 |      8.2069ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:44 | 401 |      2.0952ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:44 | 401 |      2.5456ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:44 | 401 |            0s | 127.0.0.1 | DELETE | /api/admin/users/6c6a04e9-8fef-4e45-8154-dbd36ec04d31 | -
22:16:44 | 401 |     24.4327ms | 127.0.0.1 | POST | /api/auth/login | -
22:16:44 | 401 |       996.9µs | 127.0.0.1 | POST | /api/auth/login | -
22:16:44 | 401 |            0s | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:16:44 | 401 |      1.1972ms | 127.0.0.1 | POST | /api/auth/login | -
